time,open,high,low,close,Volume,Volume MA
1398229200,1.381595,1.38546,1.38004,1.3848,17371,4965.4
1398243600,1.3848,1.385025,1.38326,1.384025,10911,5378
1398258000,1.384025,1.38457,1.38116,1.381925,17656,6132.4
1398272400,1.381925,1.38203,1.381355,1.381665,3531,6234.55
1398286800,1.381665,1.382215,1.381505,1.38218,2837,6269.9
1398301200,1.38218,1.38261,1.38179,1.38217,3066,6321
1398315600,1.38217,1.384375,1.38119,1.383155,9599,6689.7
1398330000,1.383155,1.383295,1.379185,1.379315,16688,7413
1398344400,1.379315,1.383345,1.379145,1.38235,17133,8116.3
1398358800,1.38235,1.38342,1.382155,1.3831,3615,8063.65
1398373200,1.3831,1.38341,1.38269,1.38275,2067,7797.8
1398387600,1.38275,1.38378,1.382745,1.38343,3096,7811.2
1398402000,1.38343,1.384075,1.38284,1.3836,6228,8003.8
1398416400,1.3836,1.38485,1.38294,1.38416,10232,8394.25
1398430800,1.38416,1.384695,1.38329,1.383775,10901,8460.95
1398445200,1.383775,1.384265,1.38312,1.383245,3622,8120.5
1398632400,1.383245,1.38469,1.381485,1.382035,4268,7645.75
1398646800,1.382035,1.382585,1.38192,1.3824,2275,7572
1398661200,1.3824,1.38756,1.381825,1.38687,14295,8180.5
1398675600,1.38687,1.387965,1.385865,1.387055,11151,8527.1
1398690000,1.387055,1.387455,1.38395,1.384685,13797,8348.4
1398704400,1.384685,1.385675,1.384685,1.385105,4062,8005.95
1398718800,1.385105,1.38566,1.38491,1.38565,2536,7249.95
1398733200,1.38565,1.38648,1.38549,1.38617,2265,7186.65
1398747600,1.38617,1.387925,1.38544,1.386855,10302,7559.9
1398762000,1.386855,1.387025,1.38116,1.38287,13756,8094.4
1398776400,1.38287,1.383005,1.38056,1.38111,11775,8203.2
1398790800,1.38111,1.381415,1.38075,1.381245,3369,7537.25
1398805200,1.381245,1.381535,1.38077,1.38098,3283,6844.75
1398819600,1.38098,1.38106,1.38038,1.38068,3078,6817.9
1398834000,1.38068,1.381325,1.378715,1.37951,10501,7239.6
1398848400,1.37951,1.387165,1.377415,1.385995,22556,8212.6
1398862800,1.385995,1.387655,1.38535,1.386575,15084,8655.4
1398877200,1.386575,1.38765,1.38569,1.38676,10087,8648.15
1398891600,1.38676,1.387445,1.38636,1.386935,2481,8227.15
1398906000,1.386935,1.387325,1.386825,1.3873,1304,8111.25
1398920400,1.3873,1.388925,1.38692,1.3886,5230,8159.35
1398934800,1.3886,1.388705,1.386985,1.387365,5362,8313.7
1398949200,1.387365,1.387805,1.38629,1.386775,7341,7966
1398963600,1.386775,1.387295,1.386365,1.386955,2688,7542.85
1398978000,1.386955,1.387115,1.386075,1.386375,2399,6972.95
1398992400,1.386375,1.38638,1.385735,1.38627,1826,6861.15
1399006800,1.38627,1.386475,1.38519,1.38626,5539,7011.3
1399021200,1.38626,1.38677,1.381455,1.382865,17179,7757
1399035600,1.382865,1.38729,1.38124,1.386395,18432,8163.5
1399050000,1.386395,1.38814,1.38639,1.387335,5494,7750.4
1399237200,1.387335,1.38855,1.3865,1.38653,1727,7248
1399251600,1.38653,1.38777,1.38646,1.387585,2478,7203.45
1399266000,1.387585,1.38818,1.38694,1.387765,4697,7274.15
1399280400,1.387765,1.388405,1.387035,1.388315,4829,7361.7
1399294800,1.388315,1.38862,1.38739,1.387635,9048,7289.05
1399309200,1.387635,1.38797,1.387385,1.387505,2548,6288.65
1399323600,1.387505,1.387825,1.387225,1.38746,1354,5602.15
1399338000,1.38746,1.388485,1.387365,1.38833,1968,5196.2
1399352400,1.38833,1.393185,1.38757,1.392575,13242,5734.25
